"Typ","p1","A","notA","gesamt","Entropie","step1","Aup1","step2","Aup2","step3","Aup3","step4","Aup4","step5","Aup5","step6","Aup6","ending"
"Kundenklasse",0.5125,41,39,180,0.999549110825248,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","-","-","-","-","-","-","ZS"
"Kundenklasse",0.39,39,61,180,0.964799548505087,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","-","-","-","-","-","-","ZS"
"Quad",0.416666666666667,10,14,100,0.979868756651153,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/<9,7901","-","-","-","-","ZS"
"Quad",0.333333333333333,9,18,100,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/>9,7901","-","-","-","-","ZS"
"Quad",0.428571428571429,9,12,100,0.985228136034252,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","-","-","-","-","ZS"
"Quad",0.392857142857143,11,17,100,0.966618632548103,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","-","-","-","-","ZS"
"Umsatz",0.363636363636364,8,14,24,0.94566030460064,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/<9,7901","Umsatz","Hoher Umsatz","-","-","ZS"
"Umsatz",1,2,0,24,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/<9,7901","Umsatz","Niedriger Umsatz","-","-","Alle A"
"Preisumsetzung",0.25,1,3,22,0.811278124459133,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/<9,7901","Umsatz","Hoher Umsatz","Preisumsetzung","Hohe Pr.Um.","Undiskret"
"Preisumsetzung",0.4,4,6,22,0.970950594454669,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/<9,7901","Umsatz","Hoher Umsatz","Preisumsetzung","Mittlere Pr.Um.","Undiskret"
"Preisumsetzung",0.375,3,5,22,0.954434002924965,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/<9,7901","Umsatz","Hoher Umsatz","Preisumsetzung","Niedrige Pr.Um.","Undiskret"
"Preisumsetzung",1,2,0,2,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/<9,7901","Umsatz","Niedriger Umsatz","Preisumsetzung","Niedrige Pr.Um.","Alle A"
"Preisumsetzung",0.3,3,7,27,0.881290899230693,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","ZS"
"Preisumsetzung",0.5,5,5,27,1,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","ZS"
"Preisumsetzung",0.142857142857143,1,6,27,0.591672778582327,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","ZS"
"Umsatz",0.5,5,5,10,1,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",0.142857142857143,1,6,7,0.591672778582327,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",0.333333333333333,3,6,10,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",0,0,1,10,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","Alle NA"
"Preisumsetzung",0.5,3,3,21,1,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","ZS"
"Preisumsetzung",0.25,2,6,21,0.811278124459133,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","ZS"
"Preisumsetzung",0.571428571428571,4,3,21,0.985228136034252,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","ZS"
"Umsatz",0.4,2,3,6,0.970950594454669,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",1,1,0,6,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","Alle A"
"Umsatz",0.2,1,4,8,0.721928094887362,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",0.333333333333333,1,2,8,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.8,4,1,7,0.721928094887362,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",0,0,2,7,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","Umsatz","Niedriger Umsatz","Alle NA"
"Umsatz",0.454545454545455,10,12,28,0.994030211476956,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","Umsatz","Hoher Umsatz","-","-","ZS"
"Umsatz",0.166666666666667,1,5,28,0.650022421648354,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","Umsatz","Niedriger Umsatz","-","-","ZS"
"Preisumsetzung",0.333333333333333,1,2,22,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","Umsatz","Hoher Umsatz","Preisumsetzung","Hohe Pr.Um.","Undiskret"
"Preisumsetzung",0.571428571428571,4,3,22,0.985228136034252,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","Umsatz","Hoher Umsatz","Preisumsetzung","Mittlere Pr.Um.","Undiskret"
"Preisumsetzung",0.416666666666667,5,7,22,0.979868756651153,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","Umsatz","Hoher Umsatz","Preisumsetzung","Niedrige Pr.Um.","Undiskret"
"Preisumsetzung",0.5,1,1,6,1,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","Umsatz","Niedriger Umsatz","Preisumsetzung","Hohe Pr.Um.","Undiskret"
"Preisumsetzung",0,0,3,6,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","Umsatz","Niedriger Umsatz","Preisumsetzung","Mittlere Pr.Um.","Alle NA"
"Preisumsetzung",0,0,1,6,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","notA","Quad",">50,2724/>9,7901","Umsatz","Niedriger Umsatz","Preisumsetzung","Niedrige Pr.Um.","Alle NA"
"Quad",0.478260869565217,11,12,80,0.998635964158572,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/<9,7901","-","-","-","-","ZS"
"Quad",0.666666666666667,12,6,80,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/>9,7901","-","-","-","-","ZS"
"Quad",0.5625,9,7,80,0.988699408288497,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/<9,7901","-","-","-","-","ZS"
"Quad",0.391304347826087,9,14,80,0.96563613337061,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/>9,7901","-","-","-","-","ZS"
"Preisumsetzung",0.25,1,3,23,0.811278124459133,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","ZS"
"Preisumsetzung",0.75,6,2,23,0.811278124459133,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","ZS"
"Preisumsetzung",0.363636363636364,4,7,23,0.94566030460064,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","ZS"
"Umsatz",0.363636363636364,4,7,11,0.94566030460064,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.75,6,2,8,0.811278124459133,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.25,1,3,4,0.811278124459133,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Preisumsetzung",0.428571428571429,3,4,23,0.985228136034252,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","ZS"
"Preisumsetzung",0,0,5,23,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","Alle NA"
"Preisumsetzung",0.545454545454545,6,5,23,0.994030211476956,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","ZS"
"Umsatz",0.545454545454545,6,5,11,0.994030211476956,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.428571428571429,3,4,7,0.985228136034252,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0,0,5,5,0,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Niedriger Umsatz","Alle NA"
"Preisumsetzung",0.333333333333333,1,2,18,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","ZS"
"Preisumsetzung",0.666666666666667,6,3,18,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","ZS"
"Preisumsetzung",0.833333333333333,5,1,18,0.650022421648354,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","ZS"
"Umsatz",0.666666666666667,6,3,9,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.333333333333333,1,2,3,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.833333333333333,5,1,6,0.650022421648354,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Preisumsetzung",0.714285714285714,5,2,16,0.863120568566631,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","ZS"
"Preisumsetzung",0.333333333333333,1,2,16,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","ZS"
"Preisumsetzung",0.5,3,3,16,1,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","ZS"
"Umsatz",0.333333333333333,1,2,3,0.91829583405449,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.5,3,3,6,1,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.714285714285714,5,2,7,0.863120568566631,"Konzernmarken","3","NettoDB","Mittlerer Netto-DB","Kundenklasse","A","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","Undiskret"
"Quad",0.375,15,25,179,0.954434002924965,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/<9,7901","-","-","-","-","-","-","ZS"
"Quad",0.363636363636364,16,28,179,0.94566030460064,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","-","-","-","-","-","-","ZS"
"Quad",0.452380952380952,19,23,179,0.993447238380203,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","-","-","-","-","-","-","ZS"
"Quad",0.39622641509434,21,32,179,0.96870034365086,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/>9,7901","-","-","-","-","-","-","ZS"
"Preisumsetzung",0.444444444444444,8,10,44,0.991076059838222,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","-","-","ZS"
"Preisumsetzung",0.357142857142857,5,9,44,0.940285958670631,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","-","-","ZS"
"Preisumsetzung",0.25,3,9,44,0.811278124459133,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","-","-","ZS"
"Kundenklasse",0.333333333333333,2,4,12,0.91829583405449,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","A","-","-","ZS"
"Kundenklasse",0.166666666666667,1,5,12,0.650022421648354,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","notA","-","-","ZS"
"Umsatz",0.25,1,3,6,0.811278124459133,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","notA","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",0,0,2,6,0,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","notA","Umsatz","Niedriger Umsatz","Alle NA"
"Umsatz",0.333333333333333,2,4,6,0.91829583405449,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","A","Umsatz","Niedriger Umsatz","Undiskret"
"Kundenklasse",0.333333333333333,2,4,18,0.91829583405449,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Kundenklasse","A","-","-","ZS"
"Kundenklasse",0.5,6,6,18,1,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Kundenklasse","notA","-","-","ZS"
"Umsatz",0.5,5,5,12,1,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Kundenklasse","notA","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",0.5,1,1,12,1,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Kundenklasse","notA","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.333333333333333,2,4,6,0.91829583405449,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Kundenklasse","A","Umsatz","Niedriger Umsatz","Undiskret"
"Kundenklasse",0.333333333333333,1,2,14,0.91829583405449,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","Kundenklasse","A","-","-","ZS"
"Kundenklasse",0.363636363636364,4,7,14,0.94566030460064,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","Kundenklasse","notA","-","-","ZS"
"Umsatz",0.333333333333333,1,2,3,0.91829583405449,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","Kundenklasse","A","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.363636363636364,4,7,11,0.94566030460064,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad","<50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","Kundenklasse","notA","Umsatz","Hoher Umsatz","Undiskret"
"Preisumsetzung",0.380952380952381,8,13,42,0.958711882977132,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","-","-","ZS"
"Preisumsetzung",0.466666666666667,7,8,42,0.996791631981637,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","-","-","ZS"
"Preisumsetzung",0.666666666666667,4,2,42,0.91829583405449,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","-","-","ZS"
"Umsatz",0.3125,5,11,21,0.896038232534557,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Hoher Umsatz","-","-","ZS"
"Umsatz",0.6,3,2,21,0.970950594454669,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","-","-","ZS"
"Kundenklasse",0.3125,5,11,16,0.896038232534557,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Hoher Umsatz","Kundenklasse","notA","Undiskret"
"Kundenklasse",0.5,2,2,5,1,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","Kundenklasse","A","Undiskret"
"Kundenklasse",1,1,0,5,0,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Hohe Pr.Um.","Umsatz","Niedriger Umsatz","Kundenklasse","notA","Alle A"
"Kundenklasse",0.5,1,1,6,1,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","A","-","-","ZS"
"Kundenklasse",0.75,3,1,6,0.811278124459133,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","notA","-","-","ZS"
"Umsatz",0.5,1,1,2,1,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","A","Umsatz","Niedriger Umsatz","Undiskret"
"Umsatz",0.75,3,1,4,0.811278124459133,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Niedrige Pr.Um.","Kundenklasse","notA","Umsatz","Hoher Umsatz","Undiskret"
"Umsatz",0.571428571428571,4,3,15,0.985228136034252,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Hoher Umsatz","-","-","ZS"
"Umsatz",0.375,3,5,15,0.954434002924965,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Niedriger Umsatz","-","-","ZS"
"Kundenklasse",0.571428571428571,4,3,7,0.985228136034252,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Hoher Umsatz","Kundenklasse","notA","Undiskret"
"Kundenklasse",0.428571428571429,3,4,8,0.985228136034252,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Niedriger Umsatz","Kundenklasse","A","Undiskret"
"Kundenklasse",0,0,1,8,0,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/<9,7901","Preisumsetzung","Mittlere Pr.Um.","Umsatz","Niedriger Umsatz","Kundenklasse","notA","Alle NA"
"Preisumsetzung",0.210526315789474,4,15,53,0.742487569542124,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","-","-","-","-","ZS"
"Preisumsetzung",0.533333333333333,8,7,53,0.996791631981637,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/>9,7901","Preisumsetzung","Mittlere Pr.Um.","-","-","-","-","ZS"
"Preisumsetzung",0.473684210526316,9,10,53,0.998000883872299,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/>9,7901","Preisumsetzung","Niedrige Pr.Um.","-","-","-","-","ZS"
"Kundenklasse",0.375,3,5,19,0.954434002924965,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Kundenklasse","A","-","-","ZS"
"Kundenklasse",0.0909090909090909,1,10,19,0.439496986921513,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Kundenklasse","notA","-","-","ZS"
"Umsatz",0.0909090909090909,1,10,11,0.439496986921513,"Konzernmarken","3","NettoDB","Niedriger Netto-DB","Quad",">50,2724/>9,7901","Preisumsetzung","Hohe Pr.Um.","Kundenklasse","notA","Umsatz","Hoher Umsatz","Undiskret"
