"Nummer","Unternehmen","PLZ","Ort","Konzernmarken","Umsatz","NettoDB","Preisumsetzung","Kundenklasse","Jahr","Prognose","Geo Point","Ortsname","Breitengrad","Längengrad","Quad"
60,"41698A1B1EEABF242918D00C",94374,"Schwarzach",4,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"notA","48.9263949671, 12.8390359157","Schwarzach",48.9263949671,12.8390359157,"<50,2724/>9,7901"
65,"B62F86DB7A8D367FB0038E1",97799,"Zeitlofs",6,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"notA","50.2458034287, 9.71579504587","Zeitlofs",50.2458034287,9.71579504587,"<50,2724/<9,7901"
67,"7024E7A138A5DB8C62A5219E",71566,"Althütte",6,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","A",2016,"A","48.928972249, 9.56455819377","Althütte",48.928972249,9.56455819377,"<50,2724/<9,7901"
68,"20E4E4201D5DAB5030195D6",21776,"Wanna",3,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"A","53.7241507423, 8.77935222639","Wanna",53.7241507423,8.77935222639,">50,2724/<9,7901"
69,"D1A4DC632CB1CF579D9CE600",18320,"Ahrenshagen-Daskow, Trinwillershagen u.a.",5,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","54.2429421558, 12.6185839929","Ahrenshagen-Daskow, Trinwillershagen u.a.",54.2429421558,12.6185839929,">50,2724/>9,7901"
74,"826765A2D2894541794D5323",50667,"Köln",4,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","50.9386555045, 6.9550698736","Köln",50.9386555045,6.9550698736,">50,2724/<9,7901"
79,"D1E0DE10E52EA77B48298FF5",8321,"Zschorlau",4,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","50.549901164, 12.6434590076","Zschorlau",50.549901164,12.6434590076,">50,2724/>9,7901"
85,"7666D151A4B16BE4EC058AF",74538,"Rosengarten",4,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","49.0605467763, 9.70733531153","Rosengarten",49.0605467763,9.70733531153,"<50,2724/<9,7901"
86,"26A6D2D081491B38BEB92CE7",58638,"Iserlohn",3,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"A","51.3841432629, 7.67658732134","Iserlohn",51.3841432629,7.67658732134,">50,2724/<9,7901"
92,"E3AE9EA99BFA55EA60490B0",9599,"Freiberg",3,"Niedriger Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","50.9146236639, 13.3340412413","Freiberg",50.9146236639,13.3340412413,">50,2724/>9,7901"
93,"12EE31A9294D5D1E187CCDA",22339,"Hamburg",5,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","53.6426961806, 10.0408830493","Hamburg",53.6426961806,10.0408830493,">50,2724/>9,7901"
94,"422E3228CB57BFB6D3D95A",86745,"Hohenaltheim",3,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"A","48.7786269358, 10.5219881061","Hohenaltheim",48.7786269358,10.5219881061,"<50,2724/>9,7901"
96,"E6AB872996EA1B9758813EA3",83250,"Marquartstein",6,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"notA","47.7577291071, 12.4514177971","Marquartstein",47.7577291071,12.4514177971,"<50,2724/>9,7901"
98,"55B0FB156C8EF31728651510",97535,"Wasserlosen",4,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"A","50.0680439806, 10.0241704056","Wasserlosen",50.0680439806,10.0241704056,"<50,2724/>9,7901"
104,"F7337A97A35A1D06613143E5",59075,"Hamm",3,"Hoher Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"notA","51.7056908382, 7.7477086262","Hamm",51.7056908382,7.7477086262,">50,2724/<9,7901"
105,"3766C665208CD7075D0C44A",23827,"Wensin",4,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"A","53.999250072, 10.4067418056","Wensin",53.999250072,10.4067418056,">50,2724/>9,7901"
107,"52CD4CC9BEF1ECA70674422",36166,"Haunetal",4,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","50.7645282872, 9.67195702294","Haunetal",50.7645282872,9.67195702294,">50,2724/<9,7901"
114,"F76F7EBE9C7D6C93D56847D2",37194,"Bodenfelde, Wahlsburg",5,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","A",2016,"A","51.6644317725, 9.52364737654","Bodenfelde, Wahlsburg",51.6644317725,9.52364737654,">50,2724/<9,7901"
120,"F488C4D55BBAA104F1F16B40",6667,"Weißenfels, Stößen",6,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","51.1138308857, 11.9322702289","Weißenfels, Stößen",51.1138308857,11.9322702289,">50,2724/>9,7901"
122,"560B4557946E4F15B8A53DB5",84339,"Unterdietfurt",9,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"notA","48.3896644632, 12.6741110038","Unterdietfurt",48.3896644632,12.6741110038,"<50,2724/>9,7901"
124,"F78B7E95807A5BCE479CFA2B",35649,"Bischoffen",6,"Niedriger Umsatz","Mittlerer Netto-DB","Mittlere Pr.Um.","A",2016,"notA","50.7120207377, 8.5007250359","Bischoffen",50.7120207377,8.5007250359,">50,2724/<9,7901"
126,"530ECB941A256D9B55DDEC1A",86643,"Rennertshofen",5,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"A","48.7731601154, 11.0478394406","Rennertshofen",48.7731601154,11.0478394406,"<50,2724/>9,7901"
127,"594D0CEB8CF580256CAFDEC",94116,"Hutthurm",4,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","48.6900384647, 13.4811608661","Hutthurm",48.6900384647,13.4811608661,"<50,2724/>9,7901"
129,"A414C37D4165A04D17144B3F",83131,"Nußdorf a. Inn",5,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","47.7286578142, 12.1763891822","Nußdorf a. Inn",47.7286578142,12.1763891822,"<50,2724/>9,7901"
136,"5352CFBD25021C0EE184E82D",21717,"Fredenbeck",4,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","53.5255602955, 9.41852730729","Fredenbeck",53.5255602955,9.41852730729,">50,2724/<9,7901"
138,"54C0C38118D47CB079BF4A19",33758,"Schloß Holte-Stukenbrock",7,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","51.8899141144, 8.64831873887","Schloß Holte-Stukenbrock",51.8899141144,8.64831873887,">50,2724/<9,7901"
142,"57C379C1C314867ACFD2DB72",95680,"Bad Alexandersbad",1,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"notA","50.0120480821, 12.0288304658","Bad Alexandersbad",50.0120480821,12.0288304658,"<50,2724/>9,7901"
145,"206A8F3D73714088D8968B7",59609,"Anröchte",8,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"A","51.548961809, 8.30916465167","Anröchte",51.548961809,8.30916465167,">50,2724/<9,7901"
155,"25AACDAE810659D39D06C80",81673,"München",5,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","48.1281220582, 11.6314949619","München",48.1281220582,11.6314949619,"<50,2724/>9,7901"
166,"527EF3006E7FE23C40747CF",86935,"Rott",3,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"A","47.9089033122, 10.9823907147","Rott",47.9089033122,10.9823907147,"<50,2724/>9,7901"
169,"A564FBE9353F2FEA46CE1436",15910,"Schönwalde",6,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","52.0170560569, 13.7941093244","Schönwalde",52.0170560569,13.7941093244,">50,2724/>9,7901"
176,"5222F729515893A9B05EB724",23845,"Seth",2,"Niedriger Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","A",2016,"notA","53.8310805939, 10.1690152786","Seth",53.8310805939,10.1690152786,">50,2724/>9,7901"
178,"57508A3DE8C6871E3AF4418",47441,"Moers",3,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"A","51.4480378398, 6.6233003893","Moers",51.4480378398,6.6233003893,">50,2724/<9,7901"
179,"A610B27ED92AE319AE2A5DF2",16909,"Wittstock/Dosse, Heiligengrabe",4,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","53.1544116297, 12.4902971254","Wittstock/Dosse, Heiligengrabe",53.1544116297,12.4902971254,">50,2724/>9,7901"
188,"570C8E14D7E1F68BB7F6BA13",85521,"Ottobrunn/Riemerling",2,"Hoher Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","48.0606813897, 11.6728973307","Ottobrunn/Riemerling",48.0606813897,11.6728973307,"<50,2724/>9,7901"
198,"5AB0DC167D0C1032CC428DF3",97729,"Ramsthal",6,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","50.1291825323, 10.0778311764","Ramsthal",50.1291825323,10.0778311764,"<50,2724/>9,7901"
201,"9731DA5CA178F19CC93F922",94269,"Rinchnach",6,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","48.9512302912, 13.2104504499","Rinchnach",48.9512302912,13.2104504499,"<50,2724/>9,7901"
202,"59B36656A6CCEAF87A2F1C98",21147,"Hamburg",2,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","53.483308074, 9.85383466258","Hamburg",53.483308074,9.85383466258,">50,2724/>9,7901"
215,"C2A5B4F29945C27371F4A10",2906,"Niesky, Hohendubrau u.a.",6,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","51.2861332762, 14.7405059664","Niesky, Hohendubrau u.a.",51.2861332762,14.7405059664,">50,2724/>9,7901"
231,"9971D8ED610B8445E6744DB",89233,"Neu-Ulm",6,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","48.3809733168, 10.0671761958","Neu-Ulm",48.3809733168,10.0671761958,"<50,2724/>9,7901"
233,"A8175E3E8B27B9A2455E42B7",12203,"Berlin Lichtenfelde",2,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"A","52.4441330244, 13.3098112995","Berlin Lichtenfelde",52.4441330244,13.3098112995,">50,2724/>9,7901"
236,"5C52E8BE3480FF2B5A3B8CF",93188,"Pielenhofen",1,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"notA","49.0774561772, 11.976906764","Pielenhofen",49.0774561772,11.976906764,"<50,2724/>9,7901"
241,"803D9304F28566134CA55DF",84152,"Mengkofen",5,"Hoher Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"notA","48.7249562904, 12.4294037589","Mengkofen",48.7249562904,12.4294037589,"<50,2724/>9,7901"
257,"5B78E0802A76D95DBB356B34",63864,"Glattbach",5,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"A","50.0095839374, 9.14423200416","Glattbach",50.0095839374,9.14423200416,"<50,2724/<9,7901"
260,"8BBDD326C0810A91267EC11",13405,"Berlin Wedding",5,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","52.5589009017, 13.2978691246","Berlin Wedding",52.5589009017,13.2978691246,">50,2724/>9,7901"
261,"587B5AC0F1B62397D58A5B7",23619,"Zarpen",6,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"A","53.8778494858, 10.523955086","Zarpen",53.8778494858,10.523955086,">50,2724/>9,7901"
262,"A93B6283C05A4790A0DD1989",24248,"Mönkeberg",3,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","54.3480639687, 10.1948647398","Mönkeberg",54.3480639687,10.1948647398,">50,2724/>9,7901"
264,"DBE9FF1B0ACB2025DB25B14",15834,"Rangsdorf",4,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"A","52.284156001, 13.4528610726","Rangsdorf",52.284156001,13.4528610726,">50,2724/>9,7901"
265,"5D7ED4037FFD1195470E90E",67578,"Gimbsheim",3,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"A","49.7769945901, 8.37970986311","Gimbsheim",49.7769945901,8.37970986311,"<50,2724/<9,7901"
267,"5B24E4A91551A8C8F6C6E20",51503,"Rösrath",9,"Hoher Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"A","50.9061723232, 7.18382136453","Rösrath",50.9061723232,7.18382136453,">50,2724/<9,7901"
269,"8E7D91B532F613CA63EE826",97286,"Winterhausen",6,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"notA","49.7031027948, 10.0179287372","Winterhausen",49.7031027948,10.0179287372,"<50,2724/>9,7901"
276,"5850AD3EF944643BE78826C7",41849,"Wassenberg",6,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"A","51.1132123811, 6.14510276237","Wassenberg",51.1132123811,6.14510276237,">50,2724/<9,7901"
279,"B93D48C4E9E578168CE622",71554,"Weissach im Tal",4,"Hoher Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"notA","48.9216519622, 9.49612303821","Weissach im Tal",48.9216519622,9.49612303821,"<50,2724/<9,7901"
285,"8CC2EE55BDD26904CEE34BE",54413,"Gusenburg",7,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","49.7178359774, 6.91395425782","Gusenburg",49.7178359774,6.91395425782,"<50,2724/<9,7901"
286,"580CA917C66315AE53D122F0",10407,"Berlin Prenzlauer Berg",4,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"A","52.5337125623, 13.4490605171","Berlin Prenzlauer Berg",52.5337125623,13.4490605171,">50,2724/>9,7901"
293,"ECA9266AD1D84BFFD00B0E1",83666,"Waakirchen",3,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","A",2016,"A","47.7714093167, 11.6756463453","Waakirchen",47.7714093167,11.6756463453,"<50,2724/>9,7901"
297,"6EF169A96606BFE9C363DE56",98743,"Gräfenthal",5,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","50.5158364371, 11.2855652669","Gräfenthal",50.5158364371,11.2855652669,">50,2724/>9,7901"
300,"9CB2EBAA8C2A2124D88BACEB",54619,"Üttfeld",4,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"A","50.1334885996, 6.23583996445","Üttfeld",50.1334885996,6.23583996445,"<50,2724/<9,7901"
303,"C97766E827997376674F590C",31162,"Bad Salzdetfurth",4,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"A","52.0723589076, 10.0244188507","Bad Salzdetfurth",52.0723589076,10.0244188507,">50,2724/>9,7901"
306,"9FED55C368CDAA7BDABF39B7",71116,"Gärtringen",5,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"notA","48.6400023088, 8.89794537193","Gärtringen",48.6400023088,8.89794537193,"<50,2724/<9,7901"
307,"6EAD6D805921CE7C773ADA61",21380,"Artlenburg",4,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","53.3644456298, 10.4864889517","Artlenburg",53.3644456298,10.4864889517,">50,2724/>9,7901"
308,"3E6D6E017CD9BEA02586FE29",54295,"Trier",6,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","A",2016,"A","49.7390848235, 6.67666083214","Trier",49.7390848235,6.67666083214,"<50,2724/<9,7901"
310,"9CEEEF83B30D50B16CD2A8DC",83024,"Rosenheim",6,"Hoher Umsatz","Hoher Netto-DB","Hohe Pr.Um.","notA",2016,"A","47.8688939951, 12.108034065","Rosenheim",47.8688939951,12.108034065,"<50,2724/>9,7901"
311,"6DAED7C082E134B6C1574B0A",15864,"Wendisch Rietz",2,"Hoher Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"A","52.2087235586, 14.0175588696","Wendisch Rietz",52.2087235586,14.0175588696,">50,2724/>9,7901"
315,"CFC956695132EDFA1AF7A006",1990,"Ortrand",5,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","51.3837389154, 13.733519434","Ortrand",51.3837389154,13.733519434,">50,2724/>9,7901"
328,"3ED56A035FF9F86832BE4A5",38154,"Königslutter am Elm",5,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","52.2903540892, 10.8961931602","Königslutter am Elm",52.2903540892,10.8961931602,">50,2724/>9,7901"
330,"9C56EB81902D16794A7F1112",27251,"Neuenkirchen, Scholen",8,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"A","52.7540762489, 8.75595637131","Neuenkirchen, Scholen",52.7540762489,8.75595637131,">50,2724/<9,7901"
331,"6D16D3C2A1C1727EE7FAF2C4",15938,"Golßen",4,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"A","51.9500034158, 13.5888837447","Golßen",51.9500034158,13.5888837447,">50,2724/>9,7901"
353,"C85B5A556CE48D4482CC232",6667,"Weißenfels, Stößen",8,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","51.1138308857, 11.9322702289","Weißenfels, Stößen",51.1138308857,11.9322702289,">50,2724/>9,7901"
358,"3FF956BE148465A739D7310",92717,"Reuth b. Erbendorf",3,"Hoher Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","notA",2016,"notA","49.8573433995, 12.1419128706","Reuth b. Erbendorf",49.8573433995,12.1419128706,"<50,2724/>9,7901"
360,"9D7AD73CDB50E84BAFFC4A2C",82276,"Adelshofen",4,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","48.192528717, 11.1045628972","Adelshofen",48.192528717,11.1045628972,"<50,2724/>9,7901"
361,"6C3AEF7FEABC8C4C279CCBD",91639,"Wolframs-Eschenbach",3,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"notA","49.2219869113, 10.7338953082","Wolframs-Eschenbach",49.2219869113,10.7338953082,"<50,2724/>9,7901"
364,"987F59FF551BCAC542849B83",49637,"Menslage",8,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","52.671926088, 7.81643557831","Menslage",52.671926088,7.81643557831,">50,2724/<9,7901"
374,"98235DD66A3CBB50F6DD9FB4",84082,"Laberweinting",5,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","48.7814393362, 12.3152915668","Laberweinting",48.7814393362,12.3152915668,"<50,2724/>9,7901"
375,"CD912343F65ADF3B1790B2FC",87648,"Aitrang",5,"Hoher Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","notA",2016,"notA","47.8252866403, 10.5187311303","Aitrang",47.8252866403,10.5187311303,"<50,2724/>9,7901"
379,"CE9299032D9A25F1A1FD2397",74427,"Fichtenberg",5,"Niedriger Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","A",2016,"A","48.9854239499, 9.71200503456","Fichtenberg",48.9854239499,9.71200503456,"<50,2724/<9,7901"
383,"CB9717C0A3D177F8EE765E2",73116,"Wäschenbeuren",5,"Niedriger Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","A",2016,"A","48.7613355187, 9.6888318442","Wäschenbeuren",48.7613355187,9.6888318442,"<50,2724/<9,7901"
390,"9E0E9EAB374524B847183E8",74251,"Lehrensteinsfeld",3,"Hoher Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","notA",2016,"notA","49.1231360578, 9.3247274568","Lehrensteinsfeld",49.1231360578,9.3247274568,"<50,2724/<9,7901"
398,"E53039D3CA2C54BEAA29C607",71101,"Schönaich",3,"Hoher Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","notA",2016,"A","48.657862978, 9.06674978184","Schönaich",48.657862978,9.06674978184,"<50,2724/<9,7901"
400,"47B3B8515F845F58B914AE7",10245,"Berlin Friedrichshain",4,"Niedriger Umsatz","Hoher Netto-DB","Niedrige Pr.Um.","A",2016,"notA","52.5006432039, 13.4647472134","Berlin Friedrichshain",52.5006432039,13.4647472134,">50,2724/>9,7901"
401,"B6F380123414DEA84EF87324",69231,"Rauenberg",9,"Hoher Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","49.2636979326, 8.69162794175","Rauenberg",49.2636979326,8.69162794175,"<50,2724/<9,7901"
406,"44EC638AD5F4BB3B6E11AB8",88356,"Ostrach",4,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","47.9510849127, 9.36069927333","Ostrach",47.9510849127,9.36069927333,"<50,2724/<9,7901"
409,"172FBFF91F27BBE6598EE26",85551,"Kirchheim b. München",3,"Hoher Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","notA",2016,"A","48.1821447954, 11.7510068213","Kirchheim b. München",48.1821447954,11.7510068213,"<50,2724/>9,7901"
412,"E66F87BA2ECBDFE1A81D535B",97486,"Königsberg i. Bay.",3,"Hoher Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"notA","50.075397678, 10.5846865236","Königsberg i. Bay.",50.075397678,10.5846865236,"<50,2724/>9,7901"
414,"42EA32BBB494E9B4BA5C456A",94374,"Schwarzach",4,"Niedriger Umsatz","Hoher Netto-DB","Hohe Pr.Um.","A",2016,"notA","48.9263949671, 12.8390359157","Schwarzach",48.9263949671,12.8390359157,"<50,2724/>9,7901"
415,"14C859263B5F7F36F79BA",1623,"Lommatzsch",7,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","51.2044800573, 13.2943637345","Lommatzsch",51.2044800573,13.2943637345,">50,2724/>9,7901"
418,"E5883DD1E90C12768C847FC9",15711,"Königs Wusterhausen",5,"Hoher Umsatz","Mittlerer Netto-DB","Niedrige Pr.Um.","notA",2016,"notA","52.2876518424, 13.6212301006","Königs Wusterhausen",52.2876518424,13.6212301006,">50,2724/>9,7901"
420,"470BBC5326D8FC67C5D0293C",82069,"Schäftlarn",4,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"notA","47.9960826326, 11.4390119438","Schäftlarn",47.9960826326,11.4390119438,"<50,2724/>9,7901"
428,"E5D439F8D62B63E338DD7BFE",94374,"Schwarzach",7,"Hoher Umsatz","Mittlerer Netto-DB","Hohe Pr.Um.","notA",2016,"notA","48.9263949671, 12.8390359157","Schwarzach",48.9263949671,12.8390359157,"<50,2724/>9,7901"
429,"1797BBFB3C07FD2E2335943",88045,"Friedrichshafen",3,"Niedriger Umsatz","Niedriger Netto-DB","Mittlere Pr.Um.","A",2016,"notA","47.666030349, 9.46020966641","Friedrichshafen",47.666030349,9.46020966641,"<50,2724/<9,7901"
433,"12923538B24CDFA0CE4DD8EC",31036,"Eime",5,"Niedriger Umsatz","Niedriger Netto-DB","Niedrige Pr.Um.","A",2016,"A","52.0644307924, 9.70024517657","Eime",52.0644307924,9.70024517657,">50,2724/<9,7901"
434,"425236B997B4AF7C9CF1FCA4",25576,"Brokdorf",7,"Hoher Umsatz","Niedriger Netto-DB","Hohe Pr.Um.","notA",2016,"notA","53.8737966747, 9.32152093565","Brokdorf",53.8737966747,9.32152093565,">50,2724/<9,7901"
442,"E743BB0765B621D34D9E865",13057,"Berlin Falkenberg",6,"Niedriger Umsatz","Hoher Netto-DB","Mittlere Pr.Um.","A",2016,"notA","52.5716456619, 13.5417479086","Berlin Falkenberg",52.5716456619,13.5417479086,">50,2724/>9,7901"
